company,year,scope1_value,scope1_unit,scope2_location_value,scope2_location_unit,scope2_market_value,scope2_market_unit
ALPHABET INC CLASS A,2019,81900.0,tCO2e,5116900.0,tCOe,835500.0,tCO2e
ALPHABET INC CLASS A,2020,55800.0,tCO2e,5865100.0,tCOe,911400.0,tCO2e
ALPHABET INC CLASS A,2021,64100.0,tCO2e,6576200.0,tCOe,1823100.0,tCO2e
ALPHABET INC CLASS A,2022,91200.0,tCO2e,8045400.0,tCOe,2492200.0,tCO2e
ALPHABET INC CLASS A,2023,79400.0,tCO2e,9252900.0,tCOe,3423400.0,tCO2e
BROADCOM INC,2021,127799.0,tCO2e,188397.0,tCO2e,174049.0,tCO2e
BROADCOM INC,2022,97208.0,tCO2e,181235.0,tCO2e,152507.0,tCO2e
BROADCOM INC,2023,58764.0,tCO2e,186061.0,tCO2e,140005.0,tCO2e
ALPHABET INC CLASS C,2019,81900.0,tCO2e,5116900.0,tCOe,835500.0,tCO2e
ALPHABET INC CLASS C,2020,55800.0,tCO2e,5865100.0,tCOe,911400.0,tCO2e
ALPHABET INC CLASS C,2021,64100.0,tCO2e,6576200.0,tCOe,1823100.0,tCO2e
ALPHABET INC CLASS C,2022,91200.0,tCO2e,8045400.0,tCOe,2492200.0,tCO2e
ALPHABET INC CLASS C,2023,79400.0,tCO2e,9252900.0,tCOe,3423400.0,tCO2e
TAIWAN SEMICONDUCTOR MANUFACTURING,2021,2151937.0,metric ton-COequivalent,9196964.0,metric ton-COequivalent,8152497.0,metric ton-COequivalent
TAIWAN SEMICONDUCTOR MANUFACTURING,2022,2018789.0,metric ton-COequivalent,10887145.0,metric ton-COequivalent,9539765.0,metric ton-COequivalent
TAIWAN SEMICONDUCTOR MANUFACTURING,2023,1596031.0,metric ton-COequivalent,11466118.0,metric ton-COequivalent,10187387.0,metric ton-COequivalent
ELI LILLY,2020,159000.0,metric tonnes CO2e,,,551000.0,metric tonnes CO2e
ELI LILLY,2021,157000.0,metric tonnes CO2e,,,488000.0,metric tonnes CO2e
ELI LILLY,2022,157000.0,metric tonnes CO2e,,,488000.0,metric tonnes CO2e
ELI LILLY,2023,182000.0,metric tonnes CO2e,,,345000.0,metric tonnes CO2e
VISA INC CLASS A,2020,5100.0,MTCO2e,66400.0,MTCO2e,8800.0,MTCO2e
VISA INC CLASS A,2021,4000.0,MTCO2e,59200.0,MTCO2e,0.0,MTCO2e
VISA INC CLASS A,2022,6400.0,MTCO2e,60900.0,MTCO2e,0.0,MTCO2e
VISA INC CLASS A,2023,10300.0,MTCO2e,67200.0,MTCO2e,300.0,MTCO2e
PROCTER & GAMBLE,2021,2238.0,metric tons,,,160.0,metric tons
PROCTER & GAMBLE,2022,2158.0,metric tons,,,151.0,metric tons
PROCTER & GAMBLE,2023,2123.0,metric tons,2275.0,metric tons,130.0,metric tons
NETFLIX INC,2019,51487.0,Metric Tons CO2-e,26594.0,Metric Tons CO2-e,565.0,Metric Tons CO2-e
NETFLIX INC,2020,30883.0,Metric Tons CO2-e,28585.0,Metric Tons CO2-e,141.0,Metric Tons CO2-e
NETFLIX INC,2021,62815.0,Metric Tons CO2-e,42291.0,Metric Tons CO2-e,0.0,Metric Tons CO2-e
NETFLIX INC,2022,59388.0,Metric Tons CO2-e,41411.0,Metric Tons CO2-e,0.0,Metric Tons CO2-e
NETFLIX INC,2023,25790.0,Metric Tons CO2-e,30303.0,Metric Tons CO2-e,0.0,Metric Tons CO2-e
HOME DEPOT INC,2021,642000.0,MT CO2e,1007000.0,MT CO2e,992000.0,MT CO2e
HOME DEPOT INC,2022,597000.0,MT CO2e,960000.0,MT CO2e,792000.0,MT CO2e
HOME DEPOT INC,2023,628000.0,MT CO2e,1033000.0,MT CO2e,733800.0,MT CO2e
TENCENT HOLDINGS LTD,2021,18797.8,tCO2e,,,2471041.1,tCO2e
TENCENT HOLDINGS LTD,2022,172137.9,tCO2e,,,2650073.3,tCO2e
TENCENT HOLDINGS LTD,2023,275373.5,tCO2e,2922093.6,tCO2e,2561328.3,tCO2e
WELLS FARGO,2019,86602.0,MTCO2e,771327.0,MTCO2e,4988.0,MTCO2e
WELLS FARGO,2020,78087.0,MTCO2e,694011.0,MTCO2e,3614.0,MTCO2e
WELLS FARGO,2021,73319.0,MTCO2e,569633.0,MTCO2e,1792.0,MTCO2e
WELLS FARGO,2022,77476.0,MTCO2e,593495.0,MTCO2e,4424.0,MTCO2e
WELLS FARGO,2023,82410.0,MTCO2e,558616.0,MTCO2e,3633.0,MTCO2e
ACCENTURE PLC CLASS A,FY21,9250.0,Metric Tons of CO2e,,,70659.0,Metric Tons of CO2e
ACCENTURE PLC CLASS A,FY22,17804.0,Metric Tons of CO2e,,,8356.0,Metric Tons of CO2e
ACCENTURE PLC CLASS A,FY23,22038.0,Metric Tons of CO2e,,,4786.0,Metric Tons of CO2e
NESTLE SA,2020,121.52,million tonnes of CO2e,,,116.59,million tonnes of CO2e
NESTLE SA,2021,120.62,million tonnes of CO2e,,,115.83,million tonnes of CO2e
NESTLE SA,2022,,,108.9,million tonnes of CO2e,112.9,million tonnes of CO2e
MCDONALDS CORP,2018,106963.0,Metric Tons CO2e,,,364985.0,Metric Tons CO2e
MCDONALDS CORP,2023,100264.0,Metric Tons CO2e,,,224964.0,Metric Tons CO2e
TOYOTA MOTOR CORP,2021,2.48,million t-CO2,,,3.39,million t-CO2
TOYOTA MOTOR CORP,2022,2.37,million t-CO2,,,2.87,million t-CO2
TOYOTA MOTOR CORP,2023,2.56,million t-CO2,,,2.87,million t-CO2
WALT DISNEY,2019,909382.0,metric tons CO2e,913359.0,metric tons CO2e,898696.0,metric tons CO2e
WALT DISNEY,2020,614971.0,metric tons CO2e,714874.0,metric tons CO2e,681456.0,metric tons CO2e
WALT DISNEY,2021,503221.0,metric tons CO2e,675984.0,metric tons CO2e,687042.0,metric tons CO2e
WALT DISNEY,2022,901714.0,metric tons CO2e,702062.0,metric tons CO2e,679506.0,metric tons CO2e
WALT DISNEY,2023,993347.0,metric tons CO2e,782066.0,metric tons CO2e,727414.0,metric tons CO2e
LVMH,2021,375740.0,metric tons CO2 equivalent,303740.0,metric tons CO2 equivalent,,
LVMH,2022,329420.0,metric tons CO2 equivalent,263420.0,metric tons CO2 equivalent,,
LVMH,2023,305350.0,metric tons CO2 equivalent,255350.0,metric tons CO2 equivalent,,
ROYAL BANK OF CANADA,2018,24821.0,tonnes of CO2e,102009.0,tonnes of CO2e,97291.0,tonnes of CO2e
ROYAL BANK OF CANADA,2021,22840.0,tonnes of CO2e,70440.0,tonnes of CO2e,45728.0,tonnes of CO2e
ROYAL BANK OF CANADA,2022,23873.0,tonnes of CO2e,65577.0,tonnes of CO2e,30198.0,tonnes of CO2e
ROYAL BANK OF CANADA,2023,1322.0,tonnes of CO2e,63713.0,tonnes of CO2e,0.0,tonnes of CO2e
HSBC HOLDINGS PLC,2019,22066.0,tonnes CO2 e,,,392270.0,tonnes CO2 e
HSBC HOLDINGS PLC,2022,19329.0,tonnes CO2 e,,,223334.0,tonnes CO2 e
HSBC HOLDINGS PLC,2023,16918.0,tonnes CO2 e,,,167174.0,tonnes CO2 e
UBER TECHNOLOGIES INC,2021,735.0,tCO2e,118795.0,tCO2e,60705.0,tCO2e
UBER TECHNOLOGIES INC,2022,1274.0,tCO2e,125182.0,tCO2e,58502.0,tCO2e
NIKE INC CLASS B,FY15,35.6,K,9.48,M,9.48,M
NIKE INC CLASS B,FY16,37.3,K,9.7,M,9.7,M
NIKE INC CLASS B,FY17,40.1,K,10.21,M,10.21,M
NIKE INC CLASS B,FY18,41.9,K,10.52,M,10.52,M
NIKE INC CLASS B,FY19,46.7,K,10.99,M,10.99,M
NIKE INC CLASS B,FY20,64.8,K,11.83,M,11.83,M
NIKE INC CLASS B,FY21,59.5,K,10.96,M,10.96,M
NIKE INC CLASS B,FY22,64.6,K,10.04,M,10.04,M
NIKE INC CLASS B,FY23,59.7,K,9.54,M,9.54,M
DIAGEO PLC,2021,,,,,,
DIAGEO PLC,2022,536.0,000 tonnes CO2e,,,138.0,000 tonnes CO2e
DIAGEO PLC,2023,485.0,000 tonnes CO2e,,,155.0,000 tonnes CO2e
